Gemeentenaam;Gemeentecode
Aa en Hunze;1680
Aalburg;0738
Aalsmeer;0358
Aalten;0197
Achtkarspelen;0059
Alblasserdam;0482
Albrandswaard;0613
Alkmaar;0361
Almelo;0141
Almere;0034
Alphen aan den Rijn;0484
Alphen-Chaam;1723
Ameland;0060
Amersfoort;0307
Amstelveen;0362
Amsterdam;0363
Apeldoorn;0200
Appingedam;0003
Arnhem;0202
Assen;0106
Asten;0743
Baarle-Nassau;0744
Baarn;0308
Barendrecht;0489
Barneveld;0203
Bedum;0005
Beek;0888
Beemster;0370
Beesel;0889
Bellingwedde;0007
Bergambacht;0491
Bergeijk;1724
Bergen (L.);0893
Bergen (NH.);0373
Bergen op Zoom;0748
Berkelland;1859
Bernheze;1721
Bernisse;0568
Best;0753
Beuningen;0209
Beverwijk;0375
het Bildt;0063
De Bilt;0310
Binnenmaas;0585
Bladel;1728
Blaricum;0376
Bloemendaal;0377
Bodegraven-Reeuwijk;1901
Boekel;0755
Ten Boer;0009
Borger-Odoorn;1681
Borne;0147
Borsele;0654
Boxmeer;0756
Boxtel;0757
Breda;0758
Brielle;0501
Bronckhorst;1876
Brummen;0213
Brunssum;0899
Bunnik;0312
Bunschoten;0313
Buren;0214
Bussum;0381
Capelle aan den IJssel;0502
Castricum;0383
Coevorden;0109
Cranendonck;1706
Cromstrijen;0611
Cuijk;1684
Culemborg;0216
Dalfsen;0148
Dantumadiel;1891
Delft;0503
Delfzijl;0010
Deurne;0762
Deventer;0150
Diemen;0384
Dinkelland;1774
Doesburg;0221
Doetinchem;0222
Dongen;0766
Dongeradeel;0058
Dordrecht;0505
Drechterland;0498
Drimmelen;1719
Dronten;0303
Druten;0225
Duiven;0226
Echt-Susteren;1711
Edam-Volendam;0385
Ede;0228
Eemnes;0317
Eemsmond;1651
Eersel;0770
Eijsden-Margraten;1903
Eindhoven;0772
Elburg;0230
Emmen;0114
Enkhuizen;0388
Enschede;0153
Epe;0232
Ermelo;0233
Etten-Leur;0777
Ferwerderadiel;1722
Franekeradeel;0070
De Friese Meren;1921
Geertruidenberg;0779
Geldermalsen;0236
Geldrop-Mierlo;1771
Gemert-Bakel;1652
Gennep;0907
Giessenlanden;0689
Gilze en Rijen;0784
Goeree-Overflakkee;1924
Goes;0664
Goirle;0785
Gorinchem;0512
Gouda;0513
Graft-De Rijp;0365
Grave;0786
's-Gravenhage;0518
Groesbeek;0241
Groningen;0014
Grootegast;0015
Gulpen-Wittem;1729
Haaksbergen;0158
Haaren;0788
Haarlem;0392
Haarlemmerliede en Spaarnwoude;0393
Haarlemmermeer;0394
Halderberge;1655
Hardenberg;0160
Harderwijk;0243
Hardinxveld-Giessendam;0523
Haren;0017
Harlingen;0072
Hattem;0244
Heemskerk;0396
Heemstede;0397
Heerde;0246
Heerenveen;0074
Heerhugowaard;0398
Heerlen;0917
Heeze-Leende;1658
Heiloo;0399
Den Helder;0400
Hellendoorn;0163
Hellevoetsluis;0530
Helmond;0794
Hendrik-Ido-Ambacht;0531
Hengelo;0164
's-Hertogenbosch;0796
Heumen;0252
Heusden;0797
Hillegom;0534
Hilvarenbeek;0798
Hilversum;0402
Hof van Twente;1735
Hollands Kroon;1911
Hoogeveen;0118
Hoogezand-Sappemeer;0018
Hoorn;0405
Horst aan de Maas;1507
Houten;0321
Huizen;0406
Hulst;0677
IJsselstein;0353
Kaag en Braassem;1884
Kampen;0166
Kapelle;0678
Katwijk;0537
Kerkrade;0928
Koggenland;1598
Kollumerland en Nieuwkruisland;0079
Korendijk;0588
Krimpen aan den IJssel;0542
Laarbeek;1659
Landerd;1685
Landgraaf;0882
Landsmeer;0415
Langedijk;0416
Lansingerland;1621
Laren;0417
Leek;0022
Leerdam;0545
Leeuwarden;0080
Leeuwarderadeel;0081
Leiden;0546
Leiderdorp;0547
Leidschendam-Voorburg;1916
Lelystad;0995
Leudal;1640
Leusden;0327
Lingewaal;0733
Lingewaard;1705
Lisse;0553
Littenseradiel;0140
Lochem;0262
Loon op Zand;0809
Lopik;0331
Loppersum;0024
Losser;0168
Maasdonk;1671
Maasdriel;0263
Maasgouw;1641
Maassluis;0556
Maastricht;0935
De Marne;1663
Marum;0025
Medemblik;0420
Meerssen;0938
Menameradiel;1908
Menterwolde;1987
Meppel;0119
Middelburg;0687
Midden-Delfland;1842
Midden-Drenthe;1731
Mill en Sint Hubert;0815
Millingen aan de Rijn;0265
Moerdijk;1709
Molenwaard;1927
Montferland;1955
Montfoort;0335
Mook en Middelaar;0944
Muiden;0424
Naarden;0425
Neder-Betuwe;1740
Nederlek;0643
Nederweert;0946
Neerijnen;0304
Nieuwegein;0356
Nieuwkoop;0569
Nijkerk;0267
Nijmegen;0268
Noord-Beveland;1695
Noordenveld;1699
Noordoostpolder;0171
Noordwijk;0575
Noordwijkerhout;0576
Nuenen, Gerwen en Nederwetten;0820
Nunspeet;0302
Nuth;0951
Oegstgeest;0579
Oirschot;0823
Oisterwijk;0824
Oldambt;1895
Oldebroek;0269
Oldenzaal;0173
Olst-Wijhe;1773
Ommen;0175
Onderbanken;0881
Oost Gelre;1586
Oosterhout;0826
Ooststellingwerf;0085
Oostzaan;0431
Opmeer;0432
Opsterland;0086
Oss;0828
Oud-Beijerland;0584
Oude IJsselstreek;1509
Ouder-Amstel;0437
Ouderkerk;0644
Oudewater;0589
Overbetuwe;1734
Papendrecht;0590
Peel en Maas;1894
Pekela;0765
Pijnacker-Nootdorp;1926
Purmerend;0439
Putten;0273
Raalte;0177
Reimerswaal;0703
Renkum;0274
Renswoude;0339
Reusel-De Mierden;1667
Rheden;0275
Rhenen;0340
Ridderkerk;0597
Rijnwaarden;0196
Rijssen-Holten;1742
Rijswijk;0603
Roerdalen;1669
Roermond;0957
De Ronde Venen;0736
Roosendaal;1674
Rotterdam;0599
Rozendaal;0277
Rucphen;0840
Schagen;0441
Schermer;0458
Scherpenzeel;0279
Schiedam;0606
Schiermonnikoog;0088
Schijndel;0844
Schinnen;0962
Schoonhoven;0608
Schouwen-Duiveland;1676
Simpelveld;0965
Sint Anthonis;1702
Sint-Michielsgestel;0845
Sint-Oedenrode;0846
Sittard-Geleen;1883
Sliedrecht;0610
Slochteren;0040
Sluis;1714
Smallingerland;0090
Soest;0342
Someren;0847
Son en Breugel;0848
Spijkenisse;0612
Stadskanaal;0037
Staphorst;0180
Stede Broec;0532
Steenbergen;0851
Steenwijkerland;1708
Stein;0971
Stichtse Vecht;1904
Strijen;0617
Súdwest-Fryslân;1900
Terneuzen;0715
Terschelling;0093
Texel;0448
Teylingen;1525
Tholen;0716
Tiel;0281
Tilburg;0855
Tubbergen;0183
Twenterand;1700
Tynaarlo;1730
Tytsjerksteradiel;0737
Ubbergen;0282
Uden;0856
Uitgeest;0450
Uithoorn;0451
Urk;0184
Utrecht;0344
Utrechtse Heuvelrug;1581
Vaals;0981
Valkenburg aan de Geul;0994
Valkenswaard;0858
Veendam;0047
Veenendaal;0345
Veere;0717
Veghel;0860
Veldhoven;0861
Velsen;0453
Venlo;0983
Venray;0984
Vianen;0620
Vlaardingen;0622
Vlagtwedde;0048
Vlieland;0096
Vlissingen;0718
Vlist;0623
Voerendaal;0986
Voorschoten;0626
Voorst;0285
Vught;0865
Waalre;0866
Waalwijk;0867
Waddinxveen;0627
Wageningen;0289
Wassenaar;0629
Waterland;0852
Weert;0988
Weesp;0457
Werkendam;0870
West Maas en Waal;0668
Westerveld;1701
Westervoort;0293
Westland;1783
Weststellingwerf;0098
Westvoorne;0614
Wierden;0189
Wijchen;0296
Wijdemeren;1696
Wijk bij Duurstede;0352
Winsum;0053
Winterswijk;0294
Woensdrecht;0873
Woerden;0632
De Wolden;1690
Wormerland;0880
Woudenberg;0351
Woudrichem;0874
Zaanstad;0479
Zaltbommel;0297
Zandvoort;0473
Zederik;0707
Zeevang;0478
Zeewolde;0050
Zeist;0355
Zevenaar;0299
Zoetermeer;0637
Zoeterwoude;0638
Zuidhorn;0056
Zuidplas;1892
Zundert;0879
Zutphen;0301
Zwartewaterland;1896
Zwijndrecht;0642
Zwolle;0193
